Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Tipus_Vehicles,Desc_distintiu_ambiental,Nombre
2019,1,Ciutat Vella,1,el Raval,Turismes,Sense distintiu ambiental,1968
2019,1,Ciutat Vella,1,el Raval,Turismes,Etiqueta 0 – Zero emissions – Blava,17
2019,1,Ciutat Vella,1,el Raval,Turismes,Etiqueta B – Groga,1934
2019,1,Ciutat Vella,1,el Raval,Turismes,Etiqueta C – Verda,1575
2019,1,Ciutat Vella,1,el Raval,Turismes,Etiqueta E – Eco,181
2019,1,Ciutat Vella,1,el Raval,Turismes,No consta,77
2019,1,Ciutat Vella,1,el Raval,Motos,Sense distintiu ambiental,636
2019,1,Ciutat Vella,1,el Raval,Motos,Etiqueta 0 – Zero emissions – Blava,4
2019,1,Ciutat Vella,1,el Raval,Motos,Etiqueta B – Groga,456
2019,1,Ciutat Vella,1,el Raval,Motos,Etiqueta C – Verda,1909
2019,1,Ciutat Vella,1,el Raval,Motos,No consta,18
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,Sense distintiu ambiental,538
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,41
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,Etiqueta B – Groga,674
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,Etiqueta C – Verda,50
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,No consta,12
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Sense distintiu ambiental,439
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Etiqueta 0 – Zero emissions – Blava,1
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Etiqueta B – Groga,330
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Etiqueta C – Verda,86
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Etiqueta E – Eco,10
2019,1,Ciutat Vella,1,el Raval,Furgonetes,No consta,6
2019,1,Ciutat Vella,1,el Raval,Camions,Sense distintiu ambiental,201
2019,1,Ciutat Vella,1,el Raval,Camions,Etiqueta B – Groga,125
2019,1,Ciutat Vella,1,el Raval,Camions,Etiqueta C – Verda,6
2019,1,Ciutat Vella,1,el Raval,Camions,Etiqueta E – Eco,1
2019,1,Ciutat Vella,1,el Raval,Camions,No consta,2
2019,1,Ciutat Vella,1,el Raval,Altres vehicles,Sense distintiu ambiental,178
2019,1,Ciutat Vella,1,el Raval,Altres vehicles,Etiqueta B – Groga,7
2019,1,Ciutat Vella,1,el Raval,Altres vehicles,Etiqueta C – Verda,6
2019,1,Ciutat Vella,1,el Raval,Altres vehicles,No consta,1
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Sense distintiu ambiental,1258
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Etiqueta 0 – Zero emissions – Blava,59
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Etiqueta B – Groga,1413
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Etiqueta C – Verda,1775
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Etiqueta E – Eco,111
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,No consta,203
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,Sense distintiu ambiental,531
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,Etiqueta 0 – Zero emissions – Blava,76
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,Etiqueta B – Groga,531
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,Etiqueta C – Verda,2714
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,No consta,54
2019,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Sense distintiu ambiental,217
2019,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,14
2019,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Etiqueta B – Groga,280
